CNTYVTD,VTDKEY,BidenD_20G_President,TrumpR_20G_President,JorgensenL_20G_President,HawkinsG_20G_President,Write-InW_20G_President
"2090122",5080,540,120,19,4,2
"2090123",5081,550,165,13,7,0
"2090125A",5082,1389,806,35,14,1
"2090125B",5083,11,6,0,0,0
"2090126",5084,1272,920,48,2,2
"2090127",5085,417,317,5,4,0
"2090128",5086,1151,781,33,11,0
"2090129",5087,1094,615,33,8,0
"2090130",5088,1349,730,41,14,1
"2090220",5089,1211,983,60,14,1
"2090221",5090,1121,695,29,5,0
"2090222",5091,769,518,35,5,0
"2090223",5092,1078,683,37,11,0
"2090224",5093,979,969,32,9,4
"2090225",5094,486,726,14,2,1
"2090226",5095,1115,1076,39,5,1
"2090227A",5096,1348,837,28,7,0
"2090227B",5097,0,0,0,0,0
"2090228A",5098,1835,1089,38,4,0
"2090228B",5099,0,0,0,0,0
"2090228C",5100,0,0,0,0,0
"2090229",5101,813,448,17,10,0
"2090230A",5102,527,559,14,2,0
"2090230B",5103,0,0,0,0,0
"2090231",5104,1517,783,47,11,0
"2090232A",5105,675,954,26,5,0
"2090232B",5106,0,0,0,0,0
"2090232C",5107,0,0,0,0,0
"2090233",5108,539,345,15,7,0
"2090234",5109,456,314,13,4,0
"2090235",5110,1438,1398,56,8,1
"2090236",5111,554,737,21,1,0
"2090238",5112,174,62,2,0,1
"2090301",5113,0,0,0,0,0
"2090315",5114,1278,1777,42,4,2
"2090316",5115,737,519,19,8,0
"2090317",5116,236,62,6,6,0
"2090318",5117,65,21,1,0,0
"2090330",5118,936,337,32,10,1
"2090332",5119,1786,772,46,17,2
"2090333A",5120,1499,1982,30,12,0
"2090333B",5121,2,3,0,0,0
"2090333C",5122,0,0,0,0,0
"2090334",5123,1303,380,22,11,0
"2090335A",5124,1192,1591,45,5,0
"2090335B",5125,0,0,0,0,0
"2090335C",5126,0,0,0,0,0
"2090335D",5127,0,0,0,0,0
"2090336",5128,1098,691,35,11,0
"2090337",5129,917,1471,38,6,1
"2090338",5130,864,1050,20,4,0
"2090339A",5131,359,659,12,4,0
"2090339B",5132,0,2,0,0,0
"2090339C",5133,0,0,0,0,0
"2090339D",5134,0,0,0,0,0
"2090339E",5135,0,0,0,0,0
"2090340",5136,887,447,25,10,1
"2090413A",5137,589,125,7,6,0
"2090413B",5138,0,0,0,0,0
"2090414",5139,758,231,17,3,1
"2090415A",5140,1231,340,20,17,0
"2090415B",5141,0,0,0,0,0
"2090416",5142,64,37,1,0,0
"2090417",5143,986,847,33,4,2
"2090418",5144,1,2,0,0,0
"2090419",5145,838,751,25,6,0
"2090420A",5146,441,514,15,5,0
"2090420B",5147,3,3,0,0,0
"2090420C",5148,0,0,0,0,0
"2090421",5149,20,31,0,0,0
"2090440",5150,722,1103,22,5,0
"2090441",5151,1067,1558,46,3,0
"2090442",5152,1463,1224,37,8,1
"2090443",5153,1685,1756,47,6,3
"2090444",5154,1041,1333,27,3,1
"2090445",5155,865,932,31,1,0
"2090446",5156,939,986,40,6,0
"2090447",5157,849,724,32,8,0
"2090448",5158,665,928,24,4,0
"2090449A",5159,1590,2340,46,3,4
"2090449B",5160,0,0,0,0,0
"2090449C",5161,1,2,0,0,0
"2110101",5162,49,290,6,1,0
"2110201",5163,54,317,6,0,0
"2110202",5164,0,25,0,0,0
"2110301",5165,55,416,6,0,0
"2110302",5166,1,29,1,0,0
"2110303",5167,12,71,0,0,0
"2110401",5168,18,250,5,1,0
"2110402",5169,17,88,1,1,0
"2130002",5170,86,342,10,2,2
"2130003",5171,502,276,5,6,0
"2130004",5172,559,1634,20,5,11
"213001A",5173,198,1107,8,2,1
"213001M",5174,393,995,6,5,2
"213001T",5175,234,913,4,2,3
"213002E",5176,223,1192,15,0,1
"213003B",5177,247,1718,24,5,3
"213003C",5178,536,2538,17,3,2
"213003M",5179,160,933,7,3,1
"213003N",5180,202,1111,8,3,4
"213004A",5181,198,340,10,1,4
"213004W",5182,153,635,3,1,1
"21301CR",5183,272,1609,17,3,3
"21301MN",5184,189,732,8,1,0
"21301TC",5185,360,1624,12,7,1
"21303WS",5186,161,902,6,4,4
"21304BV",5187,102,504,5,0,0
"21304CC",5188,251,978,5,2,1
"21304MS",5189,169,168,3,0,1
"21304PF",5190,58,288,1,0,0
"21304SE",5191,451,1978,17,6,2
"2132GBN",5192,452,1857,15,2,3
"2132GBS",5193,247,1265,11,4,1
"2132PSN",5194,404,1724,18,4,6
"2132PSS",5195,172,829,7,3,0
"2134NYL",5196,81,719,2,1,1
"2150001",5197,256,120,2,1,0
"2150002",5198,579,496,3,5,0
"2150003",5199,371,198,3,2,0
"2150004",5200,1764,986,14,16,1
"2150005",5201,587,400,3,8,0
"2150006",5202,712,626,7,9,0
"2150007",5203,1025,814,13,2,0
"2150008",5204,568,557,4,5,0
"2150009",5205,1134,852,10,7,0
"2150010",5206,788,479,10,5,0
"2150011",5207,738,487,5,2,1
"2150012",5208,88,71,2,1,0
"2150013",5209,1513,1001,23,11,0
"2150014",5210,445,251,4,5,0
"2150015",5211,217,158,2,1,0
"2150016",5212,1039,422,8,7,0
"2150017",5213,533,371,6,1,0
"2150018",5214,83,85,1,1,0
"2150019",5215,50,70,1,1,0
"2150020",5216,269,253,4,6,0
"2150021",5217,147,92,1,1,0
"2150022",5218,239,121,2,2,1
"2150023",5219,698,353,10,7,0
"2150024",5220,23,56,0,0,0
"2150025",5221,890,576,4,6,0
"2150026",5222,326,130,4,2,0
"2150027",5223,316,134,4,3,0
"2150028",5224,832,601,12,6,1
"2150029",5225,309,350,7,1,0
"2150030",5226,1447,873,10,12,0
"2150031",5227,587,446,7,2,0
"2150032",5228,844,480,13,8,1
"2150033",5229,622,249,5,5,0
"2150034",5230,319,188,3,1,0
"2150035",5231,1155,581,15,18,0
"2150036",5232,1194,624,4,16,0
"2150037",5233,324,199,3,2,1
"2150038",5234,1175,965,8,4,0
"2150039",5235,682,364,9,8,0
"2150040",5236,767,419,6,8,0
"2150041",5237,1029,592,10,9,0
"2150042",5238,1028,760,6,5,0
"2150043",5239,1452,1019,21,7,0
"2150044",5240,327,173,3,0,0
"2150045",5241,508,412,7,6,0
"2150046",5242,117,85,0,2,0
"2150047",5243,509,308,2,2,0
"2150048",5244,1037,640,6,9,0
"2150049",5245,888,503,6,4,0
"2150050",5246,725,743,7,8,0
"2150051",5247,734,616,10,6,0
"2150052",5248,1602,1284,14,10,0
"2150053",5249,1982,1356,23,8,2
"2150054",5250,595,532,3,1,0
"2150055",5251,844,463,2,8,1
"2150056",5252,924,473,7,8,0
"2150057",5253,270,158,2,3,0
"2150058",5254,1110,767,7,4,0
"2150059",5255,764,488,6,8,0
"2150060",5256,1048,714,12,1,0
"2150061",5257,674,400,12,7,0
"2150062",5258,1114,1059,15,1,1
"2150063",5259,224,141,2,0,0
"2150064",5260,654,430,9,5,0
"2150065",5261,370,244,2,0,0
"2150066",5262,457,208,3,1,0
"2150067",5263,748,472,8,5,0
"2150068",5264,994,802,11,6,0
"2150069",5265,993,827,2,1,0
"2150070",5266,535,355,3,2,0
"2150071",5267,56,33,0,0,0
"2150072",5268,500,298,3,2,0
"2150073",5269,983,981,7,5,1
"2150074",5270,329,279,4,2,0
"2150075",5271,18,32,0,0,0
"2150076",5272,3,13,0,0,0
"2150077",5273,630,430,3,15,0
"2150078",5274,666,505,3,5,0
"2150079",5275,484,245,4,6,1
"2150080",5276,310,248,5,1,0
"2150081",5277,1753,1274,13,13,0
"2150082",5278,1,4,0,0,0
"2150083",5279,1240,1253,12,5,0
"2150084",5280,356,274,6,1,0
"2150085",5281,1175,693,11,6,0
"2150086",5282,215,176,3,0,0
"2150087",5283,1170,703,8,2,0
"2150088",5284,1400,838,15,6,0
"2150089",5285,5,1,0,0,0
"2150090",5286,1703,758,6,7,0
"2150091",5287,289,236,6,7,0
"2150092",5288,88,60,2,2,0
"2150093",5289,58,65,2,1,0
"2150094",5290,677,459,7,5,1
"2150095",5291,1250,712,7,6,0
"2150096",5292,990,826,17,5,0
"2150097",5293,806,476,8,7,2
"2150098",5294,1242,784,7,13,1
"2150099",5295,1552,1158,21,6,1
"2150100",5296,835,762,10,8,0
"2150101",5297,311,432,3,2,0
"2150102",5298,320,409,2,1,0
"2150103",5299,992,902,12,8,1
"2150104",5300,834,612,8,1,0
"2150105",5301,1185,825,10,9,0
"2150106",5302,1892,1433,26,4,0
"2150107",5303,865,486,10,5,0
"2150108",5304,782,334,7,3,0
"2150109",5305,1091,534,9,9,0
"2150110",5306,404,202,7,1,1
"2150111",5307,799,623,7,11,0
"2150112",5308,593,250,7,7,0
"2150113",5309,1361,1017,13,11,0
"2150114",5310,1243,1154,14,4,0
"2150115",5311,1054,579,9,11,0
"2150116",5312,690,442,6,3,0
"2150117",5313,1404,950,15,12,1
"2150118",5314,712,531,6,6,0
"2150119",5315,479,222,5,1,0
"2150120",5316,757,436,5,9,3
"2150121",5317,63,28,1,1,0
"2150122",5318,785,582,11,8,0
"2150123",5319,351,222,4,1,1
"2150124",5320,503,412,10,2,0
"2150125",5321,309,219,4,1,0
"2150126",5322,543,421,3,6,1
"2150127",5323,378,189,2,5,0
"2150128",5324,712,455,4,5,0
"2150129",5325,46,68,0,0,0
"2150130",5326,348,359,2,1,0
"2150131",5327,10,4,0,0,0
"2150132",5328,343,160,0,3,0
"2150133",5329,33,36,0,0,0
"2150134",5330,725,727,9,6,0
"2150135",5331,604,438,10,3,0
"2150136",5332,588,422,8,3,0
"2150137",5333,12,14,0,0,0
"2150138",5334,142,67,0,2,0
"2150139",5335,146,76,1,0,0
"2150140",5336,5,1,0,0,0
"2150141",5337,35,18,2,0,0
"2150142",5338,8,8,1,0,0
"2150143",5339,2,0,0,0,0
"2150144",5340,12,11,1,1,0
"2150145",5341,293,247,9,1,0
"2150146",5342,621,336,10,9,0
"2150147",5343,47,40,1,0,0
"2150148",5344,32,14,1,0,0
"2150149",5345,35,12,0,0,0
"2150150",5346,404,307,3,4,0
"2150151",5347,167,106,2,0,0
"2150152",5348,713,566,4,1,2
"2150153",5349,112,59,0,0,0
"2150154",5350,813,516,4,3,0
"2150155",5351,216,127,0,2,0
"2150156",5352,701,370,7,10,0
"2150157",5353,432,260,2,4,0
"2150158",5354,1189,873,20,5,1
"2150159",5355,188,87,2,3,0
"2150160",5356,133,109,0,0,0
"2150161",5357,743,506,5,5,0
"2150162",5358,38,35,0,1,0
"2150163",5359,61,25,1,0,0
"2150164",5360,652,665,8,7,0
"2150165",5361,243,240,1,2,0
"2150166",5362,195,180,3,1,0
"2150167",5363,173,226,4,2,0
"2150168",5364,123,124,3,0,0
"2150169",5365,148,135,2,4,0
"2150170",5366,252,206,1,3,0
"2150171",5367,6,5,0,0,0
"2150172",5368,13,11,0,0,0
"2150173",5369,434,396,6,2,0
"2150174",5370,294,175,6,2,0
"2150175",5371,427,254,2,2,1
"2150176",5372,402,248,2,3,0
"2150177",5373,207,149,2,2,0
"2150178",5374,5,12,0,0,0
"2150179",5375,130,82,1,0,0
"2150180",5376,61,35,4,0,0
"2150181",5377,238,375,1,0,0
"2150182",5378,276,154,6,2,0
"2150183",5379,173,129,4,0,0
"2150184",5380,14,13,0,0,0
"2150185",5381,0,0,0,0,0
"2150186",5382,75,28,1,2,0
"2150187",5383,790,645,7,4,0
"2150188",5384,684,617,0,5,0
"2150189",5385,477,262,5,0,0
"2150190",5386,165,127,0,1,0
"2150191",5387,176,128,1,1,0
"2150192",5388,140,114,1,1,0
"2150193",5389,186,124,3,0,0
"2150194",5390,614,636,5,2,0
"2150195",5391,254,388,5,1,0
"2150196",5392,285,239,5,1,0
"2150197",5393,259,217,0,0,0
"2150198",5394,204,195,3,1,0
"2150199",5395,927,796,7,4,0
"2150200",5396,885,667,10,6,1
"2150201",5397,471,373,1,1,0
"2150202",5398,249,318,0,2,0
"2150203",5399,1547,1074,18,8,1
"2150204",5400,191,189,3,1,0
"2150205",5401,78,45,0,0,0
"2150206",5402,462,296,4,1,0
"2150207",5403,938,709,6,3,0
"2150209",5404,258,186,4,3,0
"2150210",5405,124,115,0,1,1
"2150211",5406,511,303,2,3,0
"2150212",5407,153,187,3,0,0
"2150213",5408,62,37,2,0,0
"2150215",5409,388,321,6,3,0
"2150216",5410,601,317,2,4,0
"2150217",5411,60,36,0,1,0
"2150218",5412,288,202,0,0,0
"2150219",5413,368,280,2,2,0
"2150220",5414,206,137,2,1,0
"2150221",5415,422,375,7,2,0
"2150222",5416,1,8,0,0,0
"2150223",5417,172,201,1,0,0
"2150224",5418,78,104,0,1,0
"2150225",5419,115,43,1,0,0
"2150226",5420,8,10,0,0,0
"2150227",5421,1078,612,14,15,0
"2150228",5422,1695,1317,18,22,0
"2150229",5423,296,217,4,3,0
"2150230",5424,332,354,5,1,0
"2150231",5425,95,87,0,0,0
"2150232",5426,402,234,7,4,0
"2150233",5427,0,0,0,0,0
"2150234",5428,726,530,13,9,0
"2150235",5429,91,93,2,0,0
"2150236",5430,226,230,0,1,0
"2150237",5431,350,180,2,3,0
"2150238",5432,37,49,0,0,0
"2150239",5433,696,611,12,4,0
"2150240",5434,299,224,5,2,0
"2150241",5435,137,84,3,0,0
"2150242",5436,11,9,0,0,0
"2150243",5437,27,31,0,0,0
"2150244",5438,257,182,5,0,0
"2150245",5439,106,52,0,1,0
"2150246",5440,2,0,0,0,0
"2150247",5441,65,34,0,1,0
"2150248",5442,16,10,0,0,0
"2150249",5443,150,88,1,0,0
"2150250",5444,46,27,0,0,0
"2150251",5445,6,0,0,0,0
"2150252",5446,5,6,0,0,0
"2150253",5447,136,99,3,2,0
"2150254",5448,60,49,0,1,0
"2150255",5449,76,72,2,0,0
"2150256",5450,150,60,1,2,0
"2150257",5451,184,120,3,1,0
"2170002",5452,177,475,10,1,0
"2170003",5453,388,358,12,3,0
"2170004",5454,363,1133,12,3,0
"2170005",5455,48,351,2,0,0
"2170006",5456,48,252,0,0,0
"2170007",5457,57,343,6,0,0
"2170008",5458,33,206,0,1,0
"2170009",5459,80,277,4,2,0
"2170010",5460,295,954,22,2,0
"2170012",5461,75,514,4,0,0
"2170013",5462,279,1541,11,2,0
"2170014",5463,82,724,4,0,0
"2170015",5464,40,247,2,0,0
"2170016",5465,42,185,2,0,0
"2170018",5466,10,122,2,0,0
"2170019",5467,48,240,1,0,0
"2170020",5468,95,659,11,1,0
"2170021",5469,208,1067,3,1,0
"2170022",5470,200,932,4,5,0
"2170023",5471,61,261,3,3,0
"2170024",5472,158,592,3,2,0
"2170027",5473,73,493,1,0,0
"2190011",5474,80,450,3,1,0
"2190014",5475,83,506,7,1,0
"2190015",5476,40,267,2,1,1
"2190016",5477,193,1157,8,0,0
"2190021",5478,248,999,5,3,2
"2190024",5479,68,456,8,2,0
"2190032",5480,242,754,9,1,0
"2190033",5481,5,67,0,0,0
"2190035",5482,19,78,2,1,0
"2190036",5483,78,131,3,0,1
"2190043",5484,24,192,1,0,1
"2190044",5485,126,389,3,1,0
"2190045A",5486,141,509,3,3,1
"2190045B",5487,64,218,1,2,0
"2190046",5488,71,363,6,0,1
"2210001",5489,198,690,7,1,2
"2210002",5490,529,2002,36,6,4
"2210003",5491,411,1733,18,5,3
"2210004",5492,347,1295,17,3,4
"2210005",5493,217,1507,14,6,2
"2210007",5494,67,628,8,2,2
"2210008",5495,390,1863,18,2,6
"2210009",5496,547,2863,40,3,8
"2210010",5497,638,3326,44,15,9
"2210011",5498,266,1151,13,4,4
"2210012",5499,226,963,11,9,0
"2210013",5500,484,2322,23,8,5
"2210014",5501,514,2055,24,3,6
"2210015",5502,61,284,6,1,0
"2210016",5503,806,3990,40,5,8
"2230001",5504,302,1237,15,2,1
"2230002",5505,263,753,8,4,0
"2230003",5506,316,911,9,3,0
"2230004",5507,161,842,12,2,0
"2230005",5508,51,339,2,1,0
"2230008",5509,40,172,2,0,0
"2230011",5510,90,453,2,1,0
"2230012",5511,24,200,0,0,0
"2230013",5512,130,548,5,3,0
"2230014",5513,105,631,8,1,0
"2230016",5514,81,754,2,2,0
"2230017",5515,142,742,9,2,0
"223001A",5516,245,971,12,2,1
"2230020",5517,53,387,4,0,0
"2230023",5518,25,205,4,0,0
"2230024",5519,65,493,3,2,0
"2230025",5520,41,269,2,0,0
"223002A",5521,334,410,11,3,0
"2230036",5522,75,613,5,1,0
"223003A",5523,237,864,13,1,0
"223004A",5524,266,925,15,1,0
"2250001",5525,290,469,3,1,0
"2250002",5526,276,705,4,1,3
"2250003",5527,528,324,5,0,2
"2250004",5528,355,888,11,0,2
"2250005",5529,125,833,6,1,1
"2250006",5530,190,588,9,0,0
"2250007",5531,67,573,3,1,0
"2250008",5532,44,245,2,0,0
"2250009",5533,22,341,0,0,0
"2250010",5534,39,177,0,0,1
"2250011",5535,12,93,2,0,0
"2250012",5536,15,91,0,0,0
"2250014",5537,20,168,1,0,0
"2250015",5538,42,155,2,1,0
"2250016",5539,17,204,4,0,1
"2250017",5540,11,220,1,0,1
"2250018",5541,41,90,0,0,0
"2250019",5542,106,374,1,2,0
"2250020",5543,13,154,0,0,0
"2250021",5544,58,209,1,0,0
"2250022",5545,43,159,1,0,0
"2270011",5546,237,308,5,2,0
"2270012",5547,147,133,2,2,0
"2270013",5548,80,152,4,2,0
"2270014",5549,20,80,0,0,0
"2270016",5550,15,34,2,0,0
"2270024",5551,65,275,4,0,0
"2270025",5552,177,641,5,1,0
"2270026",5553,98,294,9,2,0
"2270032",5554,18,49,0,0,0
"2270033",5555,215,754,6,3,0
"2270034",5556,236,647,10,5,0
"2270035",5557,38,154,3,0,0
"2270037",5558,0,0,0,0,0
"2270042",5559,104,252,7,1,0
"2270045",5560,114,473,5,1,0
"2270046",5561,117,272,4,0,0
"2270103",5562,16,90,1,0,0
"2270104",5563,4,85,1,0,0
"2270105",5564,0,0,0,0,0
"227012A",5565,20,52,0,1,0
"2270205",5566,79,899,3,3,0
"2270207",5567,45,617,3,0,0
"2270208",5568,9,120,2,0,0
"2270209",5569,0,0,0,0,0
"2270304",5570,42,355,5,1,0
"2270404",5571,66,381,2,1,0
"2270405",5572,21,201,0,0,0
"2270408",5573,3,39,1,0,0
"2270409",5574,23,333,3,1,0
"227207C",5575,60,364,2,2,0
"2290001",5576,97,255,3,1,0
"2290002",5577,135,195,3,1,0
"2290004",5578,62,151,3,0,0
"229003N",5579,33,85,0,2,0
"229003S",5580,44,85,1,1,0
"2310101",5581,121,719,4,1,2
"2310102",5582,173,740,9,1,0
"2310103",5583,80,450,5,0,0
"2310104",5584,124,577,7,4,0
"2310105",5585,141,305,6,4,0
"2310106",5586,492,723,17,2,2
"2310107",5587,572,1352,27,6,5
"2310108",5588,343,587,18,0,1
"2310109",5589,144,761,5,2,0
"2310210",5590,111,392,4,1,0
"2310211",5591,105,363,6,0,0
"2310212",5592,244,580,16,0,0
"2310213",5593,86,632,3,1,0
"2310214",5594,365,1966,21,5,0
"2310215",5595,845,3736,59,4,1
"2310216",5596,291,1393,16,2,1
"2310217",5597,199,959,12,6,0
"2310318",5598,61,457,8,0,0
"2310319",5599,181,1110,14,2,1
"2310320",5600,280,1258,7,3,1
"2310321",5601,163,810,7,2,0
"2310322",5602,102,585,5,0,0
"2310323",5603,315,1698,15,3,1
"2310324",5604,334,1088,22,1,3
"2310325",5605,452,1563,12,0,2
"2310426",5606,73,264,6,1,0
"2310427",5607,767,842,27,6,2
"2310428",5608,484,760,31,3,0
"2310429",5609,72,242,4,0,0
"2310430",5610,137,266,6,0,1
"2310431",5611,101,259,3,0,0
"2310432",5612,60,517,5,2,0
"2310433",5613,741,366,15,8,0
"2310434",5614,147,843,12,1,0
"2330011",5615,126,1117,18,0,3
"2330014",5616,167,1286,15,0,3
"2330021",5617,199,2128,29,4,3
"2330023",5618,26,217,4,0,0
"2330031",5619,105,1102,11,0,1
"2330033",5620,121,837,21,1,1
"2330041",5621,5,49,0,0,0
"2330042",5622,216,945,17,5,3
"2350100",5623,32,180,3,1,0
"2350200",5624,31,181,1,1,0
"2350300",5625,22,156,0,0,0
"2350400",5626,35,246,4,0,0
"2370001",5627,71,675,6,1,0
"2370002",5628,71,738,8,4,0
"2370003",5629,17,140,1,0,0
"2370004",5630,56,592,1,2,0
"2370005",5631,31,476,3,1,0
"2370006",5632,85,797,5,1,0
"2390001",5633,312,991,13,3,2
"2390002",5634,182,1296,14,6,2
"2390003",5635,231,1211,11,10,3
"2390004",5636,36,208,1,1,0
"2390005",5637,56,384,1,1,0
"2390006",5638,87,306,3,1,0
"2390007",5639,16,80,0,1,1
"2390008",5640,45,326,3,0,2
"2390009",5641,68,429,7,0,1
"2410001",5642,9,29,0,0,0
"2410002",5643,44,488,1,0,0
"2410003",5644,119,688,4,0,1
"2410004",5645,64,458,2,0,2
"2410005",5646,13,102,0,0,0
"2410006",5647,238,513,5,1,1
"2410007",5648,198,254,5,0,0
"2410008",5649,276,324,4,1,1
"2410009",5650,125,1268,9,1,5
"2410010",5651,105,1126,6,0,0
"2410011",5652,34,268,1,1,1
"2410012",5653,63,351,4,0,1
"2410013",5654,75,295,2,0,0
"2410014",5655,288,1372,13,2,1
"2410015",5656,191,1696,10,1,2
"2410016",5657,9,189,0,0,0
"2410017",5658,51,961,12,0,1
"2410019",5659,302,1177,8,0,2
"2410020",5660,400,359,5,0,1
"2410021",5661,350,624,14,0,0
"2430001",5662,158,222,9,0,0
"2430002",5663,111,154,1,1,0
"2430003",5664,112,202,6,1,0
"2430004",5665,45,90,0,0,0
"2430005",5666,75,116,1,1,0
"2450001",5667,859,101,3,2,0
"2450002",5668,468,113,2,4,0
"2450003",5669,999,60,4,4,0
"2450004",5670,437,660,12,1,0
"2450005",5671,562,462,11,1,0
"2450006",5672,494,224,6,0,0
"2450007",5673,530,342,10,2,1
"2450008",5674,333,32,2,0,0
"2450009",5675,456,2347,27,4,0
"2450010",5676,267,66,2,1,0
"2450011",5677,168,39,1,2,0
"2450012",5678,257,16,0,1,0
"2450013",5679,196,11,0,0,0
"2450014",5680,704,60,3,2,0
"2450015",5681,588,105,6,3,0
"2450016",5682,188,39,1,0,0
"2450017",5683,1048,731,11,3,0
"2450018",5684,847,25,5,2,0
"2450019",5685,738,77,2,2,0
"2450020",5686,541,65,5,1,0
"2450021",5687,64,103,0,1,0
"2450022",5688,1724,1086,27,6,1
"2450023",5689,1099,370,10,1,0
"2450024",5690,80,299,7,0,0
"2450025",5691,362,1277,13,3,0
"2450026",5692,827,1142,27,3,0
"2450027",5693,492,402,12,1,0
"2450028",5694,385,217,4,3,0
"2450029",5695,177,1323,15,0,0
"2450030",5696,90,770,6,1,0
"2450031",5697,112,820,8,0,0
"2450032",5698,33,132,1,1,0
"2450033",5699,467,994,19,2,1
"2450034",5700,1005,57,1,3,0
"2450035",5701,111,578,10,1,0
"2450036",5702,220,860,16,3,0
"2450037",5703,362,1366,38,2,1
"2450038",5704,244,1320,21,1,0
"2450039",5705,1049,47,4,2,0
"2450040",5706,354,1728,26,3,2
"2450041",5707,26,82,1,1,0
"2450042",5708,335,1371,21,0,1
"2450043",5709,356,1253,11,5,0
"2450044",5710,259,191,4,1,0
"2450045",5711,432,254,5,4,0
"2450046",5712,416,215,7,3,0
"2450047",5713,518,264,5,2,0
"2450048",5714,366,94,2,2,0
"2450049",5715,167,83,1,2,0
"2450050",5716,1035,275,2,3,1
"2450051",5717,181,34,2,0,0
"2450052",5718,258,14,1,0,0
"2450053",5719,687,71,3,1,0
"2450054",5720,270,12,4,2,0
"2450055",5721,207,10,0,0,0
"2450056",5722,465,1922,22,1,0
"2450057",5723,395,15,3,1,0
"2450058",5724,6,32,0,0,0
"2450059",5725,552,18,1,3,0
"2450060",5726,446,1705,34,8,0
"2450061",5727,410,668,7,2,0
"2450062",5728,695,1228,30,6,1
"2450063",5729,726,39,6,3,0
"2450064",5730,387,107,4,2,0
"2450065",5731,426,963,13,2,1
"2450066",5732,248,784,13,0,1
"2450067",5733,1134,156,7,1,0
"2450068",5734,767,853,27,3,1
"2450069",5735,552,1668,26,4,0
"2450070",5736,871,538,8,5,1
"2450071",5737,12,57,0,0,0
"2450072",5738,983,653,23,9,0
"2450073",5739,625,1142,36,5,0
"2450074",5740,299,1689,22,1,0
"2450075",5741,370,63,3,2,1
"2450076",5742,375,87,1,3,1
"2450077",5743,691,49,3,0,0
"2450078",5744,761,435,12,1,0
"2450079",5745,630,886,17,4,0
"2450080",5746,6,2,0,0,0
"2450081",5747,406,17,1,0,0
"2450082",5748,942,559,17,1,0
"2450083",5749,147,703,9,2,0
"2450084",5750,648,36,1,0,0
"2450085",5751,732,108,2,5,1
"2450086",5752,419,394,13,1,1
"2450087",5753,570,95,2,6,0
"2450088",5754,518,227,9,1,1
"2450089",5755,175,71,1,0,0
"2450090",5756,47,77,0,0,1
"2450091",5757,65,498,4,2,0
"2450092",5758,293,617,14,1,1
"2450093",5759,316,89,4,0,0
"2450094",5760,512,1034,16,2,0
"2450095",5761,147,252,3,1,0
"2450096",5762,206,53,3,1,0
"2450097",5763,0,0,0,0,0
"2450098",5764,132,275,4,1,0
"2450099",5765,304,105,7,2,0
"2450100",5766,972,1220,13,6,0
"2450101",5767,0,0,0,0,0
"2450102",5768,23,102,2,0,0
"2450103",5769,5,19,0,0,0
"2450104",5770,8,48,0,0,0
"2450105",5771,115,27,3,2,0
"2450106",5772,9,13,0,0,0
"2450107",5773,0,1,0,0,0
"2450108",5774,45,329,3,1,0
"2450109",5775,35,153,1,0,0
"2470001",5776,318,219,0,0,0
"2470002",5777,316,212,1,1,0
"2470003",5778,263,202,0,1,0
"2470004",5779,293,196,3,0,0
"2470005",5780,7,4,0,0,0
"2490001",5781,135,86,2,1,0
"2490002",5782,85,264,6,2,0
"2490003",5783,166,666,4,2,1
"2490004",5784,321,406,1,0,1
"2490005",5785,80,65,1,0,0
"2490006",5786,303,254,2,1,1
"2490007",5787,635,898,7,3,4
"2490008",5788,489,1529,15,4,2
"2490009",5789,179,163,1,0,0
"2490010",5790,635,391,5,1,1
"2490011",5791,243,234,2,1,2
"2490012",5792,585,506,4,2,0
"2490013",5793,149,80,2,1,0
"2490014",5794,45,84,0,0,0
"2490015",5795,424,455,4,2,0
"2490016",5796,274,146,2,1,0
"2490017",5797,464,413,5,4,0
"2490018",5798,107,127,2,0,0
"2490019",5799,42,165,0,1,0
"2490020",5800,254,115,1,1,1
"2490022",5801,504,406,3,1,0
"2510001",5802,138,804,6,5,0
"2510002",5803,781,2979,51,7,1
"2510003",5804,813,2461,32,6,1
"2510004",5805,1182,3193,67,7,2
"2510005",5806,712,2365,33,4,3
"2510006",5807,70,338,4,1,0
"2510007",5808,1116,3694,42,7,3
"2510008",5809,2230,3305,64,16,2
"2510009",5810,106,690,2,0,0
"2510010",5811,600,1927,44,4,1
"2510011",5812,555,2223,25,3,1
"2510012",5813,420,1737,23,5,0
"2510013",5814,266,1142,13,5,0
"2510014",5815,42,309,1,2,0
"2510015",5816,195,937,19,3,0
"2510016",5817,79,327,4,0,0
"2510017",5818,556,1553,27,5,0
"2510018",5819,651,1911,28,6,0
"2510019",5820,989,3366,44,10,0
"2510020",5821,293,449,13,4,0
"2510021",5822,189,994,4,3,0
"2510022",5823,762,1850,36,6,0
"2510023",5824,251,1520,14,2,0
"2510024",5825,180,850,11,0,0
"2510025",5826,229,724,13,3,0
"2510026",5827,159,1014,8,0,0
"2510027",5828,230,1551,17,2,0
"2510028",5829,272,1166,14,3,0
"2510029",5830,158,720,10,4,0
"2510030",5831,143,1028,11,1,0
"2510031",5832,189,873,7,4,0
"2510032",5833,517,1862,18,7,0
"2510033",5834,154,762,14,1,0
"2510034",5835,411,1150,20,1,0
"2510035",5836,631,2416,24,4,0
"2510036",5837,195,438,8,1,0
"2530101",5838,151,753,5,1,0
"2530102",5839,44,52,0,1,1
